plot_category,Tumour,GeneID,Symbol,informative_allele,expression
ctvt,2169Ta,ENSCAFG00000000267,TNFAIP3,B,44.6611946388297
ht_only,2169Ta,ENSCAFG00000000267,TNFAIP3,A,15.6778327600511
ht_only,2169Ta,ENSCAFG00000030892,PERP,B,0
host,2169Ta,ENSCAFG00000030892,PERP,B,0
ctvt,2169Ta,ENSCAFG00000030892,PERP,B,0
ht_only,2169Ta,ENSCAFG00000000272,ARFGEF3,A,3.02554667299231
ctvt,2169Ta,ENSCAFG00000000272,ARFGEF3,B,12.8723258450946
host,2169Ta,ENSCAFG00000000272,ARFGEF3,B,1.96251676085988
ht_only,2169Ta,ENSCAFG00000000272,ARFGEF3,B,19.5972909500638
ctvt,2169Ta,ENSCAFG00000000274,HEBP2,B,35.4814109832734
ctvt,2169Ta,ENSCAFG00000000275,NHSL1,B,124.184938441457
host,2169Ta,ENSCAFG00000000275,NHSL1,A,5.88755028257963
ht_only,2169Ta,ENSCAFG00000000275,NHSL1,B,61.88618194757
host,2169Ta,ENSCAFG00000000277,CCDC28A,B,1.96251676085988
ctvt,2169Ta,ENSCAFG00000000277,CCDC28A,B,75.0885674297182
host,2169Ta,ENSCAFG00000046446,ECT2L,B,0
ht_and_ctvt,2169Ta,ENSCAFG00000046446,ECT2L,A,1.65029818526853
ht_only,2169Ta,ENSCAFG00000046446,ECT2L,B,0.825149092634266
host,2169Ta,ENSCAFG00000046446,ECT2L,A,0
ctvt,2169Ta,ENSCAFG00000046446,ECT2L,B,9.07664001897693
ctvt,2169Ta,ENSCAFG00000000281,ABRACL,B,44.1454764559332
ht_and_ctvt,2169Ta,ENSCAFG00000000281,ABRACL,A,20.6287273158567
host,2169Ta,ENSCAFG00000000281,ABRACL,B,0.981258380429938
ht_only,2169Ta,ENSCAFG00000000281,ABRACL,B,319.332698849461
ctvt,2169Ta,ENSCAFG00000000282,HECA,B,79.2143128928896
ctvt,2169Ta,ENSCAFG00000000283,TXLNB,B,0
