gene,category,n,mean,sd,sem,ci95_l,ci95_u,min,max,q25,q75,iqr
ABRACL,tumour,14,107.396021046555,87.6859231642051,23.4350487231029,61.4641695733324,153.327872519778,22.8055131896815,277.264925321754,34.7940587103973,181.059693570022,146.265634859625
ABRACL,host,14,34.2492883651518,83.68593706202,22.3660074698005,-9.58728075361091,78.0858574839145,0,319.88784549207,1.21833028248937,27.6833015074211,26.4649712249317
ABRACL,ht,3,454.270847321581,234.526467578115,135.403919188317,188.884042346908,719.657652296254,318.401690868339,725.078152246943,318.8671948589,522.205425548202,203.338230689302
ADIPOR1,tumour,14,59.9491562348772,25.8409490582952,6.90628413751567,46.4130880583462,73.4852244114082,0,96.2025271192147,47.5173373158924,78.3091107865993,30.7917734707068
ADIPOR1,host,1,24.3972469190737,,,,,24.3972469190737,24.3972469190737,24.3972469190737,24.3972469190737,0
ADIPOR1,ht,8,79.1566169984982,29.5127556404897,10.4343348224459,58.7056965438721,99.6075374531243,42.1436263631699,128.550101740086,60.5930589846537,96.5819259611069,35.9888669764533
ADORA1,tumour,14,0.112835366079783,0.34105206751199,0.0911499991200543,-0.0658153493863807,0.291486081545947,0,1.26029511509888,0,0,0
ADORA1,host,9,0.34147923419624,1.02443770258872,0.34147923419624,-0.327807766296709,1.01076623468919,0,3.07331310776616,0,0,0
ADORA1,ht,8,0.361094697334135,1.02133003654188,0.361094697334135,-0.346637904449161,1.06882729911743,0,2.88875757867308,0,0,0
ARFGEF3,tumour,14,14.442970804194,7.59838234636615,2.03075310241526,10.4627678619671,18.4231737464209,0,26.4103883283704,9.40279342151011,20.6470847847201,11.24429136321
ARFGEF3,host,13,7.19526683609463,6.0989983878582,1.69155780126115,3.87987446785501,10.5106592043342,0,18.8961852232208,1.96251676085988,7.62961458630484,5.66709782544496
ARFGEF3,ht,8,21.2629033885405,9.59379860647228,3.3919200259873,14.6148622991652,27.9109444779157,11.3114188115281,38.5263462915193,14.4711661710221,25.8424306389721,11.37126446795
ASPM,tumour,14,74.9548626680908,19.436885721711,5.19472621689436,64.7733863734319,85.1363389627498,41.4703833201483,110.254513233457,60.6403522790186,89.9100575250489,29.2697052460302
